dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
2.2,20,funnel_scale,1,AH_exp,1879.2040490050283,2605.7990931735458,6.524072e7,929544.9710755884,0.8725054851341064,5.094779359792297,170.0207703449843,0.0,false
2.2,11,funnel_scale,1,NUTS,1366.614784003591,42.864575105193936,19600213,3.391551710964993e31,14.65746870145798,0.49502331637293107,1023.9955657564241,0.0,false
1.6,7,funnel_scale,1,AH_exp,2531.7086390862014,3880.8641900810626,6.5216624e7,2940.022642287109,0.4918557542395364,5.273673964039062,107.82628429070195,0.0,false
1.8,2,funnel_scale,1,AH_exp,2127.322043828045,2769.5510791681586,6.9931416e7,422725.66676038917,0.6443647141127866,6.051273631143008,114.70903902272005,0.0,false
2.4,18,funnel_scale,1,NUTS,4071.0398705401744,55.45686131496506,466064048,7.588959913352379e29,12.893549885177613,0.40465845317943516,1023.9759430458457,0.0,false
1.8,19,funnel_scale,1,AH_fix,2216.655582517308,3300.8010421532163,8.0214288e7,174388.69215339227,0.48012144981055,5.545439808727899,106.6304219333366,0.0,false
1.2,11,funnel_scale,1,AH_exp,2070.6584748376026,2358.309652781964,5.087829e7,286.0797376345603,-0.03161688120020115,7.9002196268503315,23.899138489104665,0.0,false
1.6,2,funnel_scale,1,AH_fix,1408.8711922462949,1351.4147703011306,7.4695056e7,1069.965538262324,-0.7544045563108615,8.600372028367572,129.70328998011706,0.0,false
3.0,10,funnel_scale,1,AM,1659.7055350641167,4794.827512732273,4.0749272e7,9921.144829300923,0.5084788577269079,2.6966488871271674,208.39283833689916,0.0,false
1.6,6,funnel_scale,1,AH_fix,2479.1909770048437,3256.5314753012212,7.2836816e7,97173.13706156555,0.5162836940720905,6.206972591929256,93.0090764584657,0.0,false
1.8,12,funnel_scale,1,NUTS,2695.613899022558,73.21729002610861,151849564,2.7846812692784257e20,11.214906989574434,0.5803359642576476,1023.6803605592912,0.0,false
2.8,14,funnel_scale,1,AH_fix,1945.1951911042372,3140.1035904165306,8.4691652e7,2.4179309785372108e8,0.8813653369881036,4.101046979784102,198.19997511444072,0.0,false
3.0,20,funnel_scale,1,AH_unif,1498.9757630588958,2372.9722583765047,6.2876808e7,4.834824875421657e6,1.0239677923863897,4.1518249658554325,222.5409019368349,0.0,false
1.8,20,funnel_scale,1,AH_unif,1435.0306794879837,1086.1728314201887,5.8466946e7,151469.1801686733,1.3844770858997726,9.207084646196384,131.2059612115818,0.0,false
3.2,1,funnel_scale,1,AM,1799.840097100777,5779.673955860088,3.9468085e7,37900.81563044314,0.5158493034712301,2.3354215106126897,245.86915803630671,0.0,false
2.0,12,funnel_scale,1,AH_fix,1836.2708813066504,2870.846398993048,6.476992e7,33485.927455194,0.4751473745353376,5.352193573846966,104.555181574526,0.0,false
2.4,4,funnel_scale,1,NUTS,1325.670823736569,53.400831712819475,24262723,7.489110664601694e30,13.129281947994233,0.4812252006646214,1023.9794478155256,0.0,false
1.2,17,funnel_scale,1,AH_exp,2687.3564199898196,3119.164089043119,5.8974074e7,21407.558779514588,0.28489462836972046,7.541269829105121,42.275119369461635,0.0,false
3.8,1,funnel_scale,1,AM,1187.1212254410464,1412.4501412033962,3.7144331e7,366217.44477597286,1.8941984347706975,3.408742863292223,305.8742749962744,0.0,false
1.2,11,funnel_scale,1,AM,2372.807817270883,3205.656415633019,3.3041276e7,189.29816439775655,0.2322408435903691,6.536883835538229,62.177052421838624,0.0,false
1.6,7,funnel_scale,1,AM,1441.509393221102,1194.8313190710403,3.7933496e7,9389.23036532054,1.1138319200339657,9.113357117364487,112.36803324710661,0.0,false
2.4,3,funnel_scale,1,AH_fix,1982.6290741716132,3403.878175459579,6.9319284e7,1.7465961810786768e6,0.6893453766055048,4.322995920525266,172.51803889227136,0.0,false
1.2,4,funnel_scale,1,AH_unif,2405.52197116994,2725.993548468476,6.1818368e7,18133.302078461027,0.07800175349698567,7.927666891987005,44.30482666842255,0.0,false
2.2,1,funnel_scale,1,NUTS,1288.9549680764985,46.565618033974154,21855807,1.3598437925110265e30,14.067781214332577,0.2578698973967302,1023.9972467950581,0.0,false
2.2,10,funnel_scale,1,AH_fix,2185.00448988396,3881.725901404058,6.4459396e7,77610.55226161184,0.6235766445628238,4.237145233731405,164.5411264870603,0.0,false
3.6,1,funnel_scale,1,AM,1358.473499849506,4377.218985649103,4.5261197e7,33567.571495728545,0.15205696756734302,2.7625128115095405,222.03660382637793,0.0,false
3.0,16,funnel_scale,1,AH_fix,1510.391864915693,3462.3887177177844,7.587722e7,429397.12467940204,0.3372693316058265,3.758438765889153,179.65969786775537,0.0,false
3.6,14,funnel_scale,1,AH_unif,1294.5706738652393,2383.56698742702,7.0031238e7,3.083630291176303e7,0.7864474878203542,4.106944973310171,231.62862595155755,0.0,false
2.8,9,funnel_scale,1,NUTS,5414.395111045495,49.675950639988244,459172263,1.3741756150787718e36,13.624868651390077,0.3512437962163959,1023.9923424558126,0.0,false
4.0,3,funnel_scale,1,AH_exp,1606.8790715844943,4165.599737443799,7.992095e7,4.883554859982525e9,0.730707950538777,2.6347106435636984,277.84839715515955,0.0,false
2.2,13,funnel_scale,1,AH_fix,1516.2113253089967,2161.1200382857455,1.00937784e8,2.0044977643979844e6,0.021757130772806943,6.313572767160907,116.78038451030002,0.0,false
0.4,17,funnel_scale,1,AH_fix,26456.04337005882,26597.78866603078,2.8717376e7,6.361174898403443,0.03096306374175152,8.92730094585752,3.756303665329824,1.1101929667654227e-12,false
1.2,17,funnel_scale,1,AH_unif,2598.7166010036076,2995.396222342977,5.4956544e7,2882.607577438107,0.3498070928789331,7.497899418144242,52.3120386030669,0.0,false
1.2,17,funnel_scale,1,NUTS,1232.7550284696865,162.2168092975787,20748275,2.10636118217903e10,7.474464228839874,1.203556426058587,998.6931935882292,0.0,false
1.2,20,funnel_scale,1,AH_exp,2332.461876108017,2652.5327620591347,5.2654584e7,1470.9213523875126,0.08678073789743732,7.896866989813794,29.788268377291708,0.0,false
